those,8
some,12
freaks,1
hope,1
few,1
still,4
poetry,1
recognize,1
highest,2
include,1
hurry,1
filled,2
laughing,2
rears,1
somethin,1
surrounded,1
cook,1
watch,2
fletcher,1
achieve,1
shut,5
farm,1
romantic,3
slow,1
flowers,1
don,77
scary,1
leave,5
ready,2
wall,5
bachelorettes,1
evil,1
sense,1
day,9
lips,1
quest,5
basically,1
worried,1
used,2
happen,2
even,5
gotta,8
dings,1
crazy,1
diversion,1
attempted,1
got,19
ahead,6
talkingest,1
army,1
did,13
us,8
two,11
dripping,1
rotisserie,1
hit,1
anyone,5
thelonius,1
recite,1
wondering,1
fancy,1
sproutin,1
appreciate,1
senses,1
chatterbox,1
sushi,1
wrote,1
clicks,1
rich,1
kisses,1
could,9
men,6
him,25
designated,1
talkin,6
trying,2
terrifying,1
perfect,12
kingdom,2
always,7
blade,1
flower,9
thorns,8
promise,1
set,1
outdoors,1
debt,1
ugh,1
hungry,1
preacher,1
rusting,1
incredible,1
name,3
fact,1
layers,10
healthy,1
pen,1
moon,2
chirping,1
wouldn,3
starting,1
introduse,1
everywhere,1
beast,7
down,21
seen,6
who,15
und,2
rid,1
showing,1
not,62
boy,4
put,6
knife,1
bloodnut,1
quartered,1
marriages,1
show,7
considered,1
shoes,1
digs,1
asking,1
shape,1
will,16
heck,1
magnitude,2
gabby,1
serious,1
david,1
colder,1
scratching,1
because,4
fanfare,1
cheering,1
sure,3
form,4
wife,2
touch,1
ain,8
sensible,1
situation,3
rescued,3
toes,2
by,16
stars,5
must,5
horrible,1
hand,3
non,1
dolt,1
camping,1
phone,1
opposite,1
happend,1
whoever,1
you,406
green,2
sitting,1
stuff,3
new,6
everything,8
reeking,1
tomorrow,4
hm,1
belong,2
power,1
haunted,1
neither,2
norm,1
fallen,1
exactly,1
alters,1
lovely,4
mold,3
own,4
feelin,1
aaaah,1
bless,1
oh,45
facility,1
stick,2
modest,1
welcome,3
likes,7
girl,8
more,4
wasn,5
needy,1
raincoat,1
marriage,2
arch,1
back,24
choice,1
man,14
sit,2
station,1
fluids,1
afraid,8
thanks,1
forgive,3
seemed,1
there,56
ogres,1
ya,11
fine,4
tried,3
hot,2
yonder,2
rope,1
forget,1
fourth,1
eligible,1
add,1
cast,1
prison,1
takin,1
can,45
skin,1
stay,18
monster,4
eat,4
everybody,4
forth,2
reputation,4
deal,1
parfaits,2
mouth,1
was,38
face,7
else,6
stink,1
famous,1
along,3
their,4
stone,1
beauty,3
rude,2
for,55
favor,1
spell,4
stand,1
how,14
saw,5
table,1
bring,1
redhead,1
unorthodox,1
disappointment,1
searched,1
kiss,11
wow,12
friend,1
mention,1
meant,3
soup,1
learned,1
wrapped,1
under,1
description,1
awaits,1
love,44
authorized,1
mirror,5
whirring,1
pyramids,1
slobbery,1
brave,3
please,12
celebrate,1
awful,3
shutter,1
sparkling,1
thee,1
couse,1
body,1
suit,1
wooden,1
friends,10
tacs,1
puffed,1
hear,5
seven,1
safe,1
thinks,1
terrified,1
wedding,2
assemble,1
aah,2
four,1
kind,8
one,36
too,9
goin,6
properly,1
toad,1
marring,1
uhh,1
in,73
response,1
eats,1
ballad,1
rush,2
beset,1
pete,2
startling,1
tale,4
promlems,1
cheese,1
rescue,11
bit,1
drastic,1
ruler,1
monsieur,1
nile,1
breathe,3
accept,1
standing,1
actually,3
spit,2
frozen,1
hideous,4
asthmatic,1
door,1
seat,1
they,25
differ,1
ohh,2
hug,1
bringing,1
poisoning,1
buttons,2
become,2
yeah,22
person,1
physical,2
major,1
told,5
with,32
tell,26
outside,6
decapitated,1
read,2
heimlich,1
radiant,1
object,2
trippin,1
sing,2
throat,3
perriod,1
robbers,1
cracking,1
comes,4
tartare,1
bear,1
say,15
nervous,1
myself,4
machine,1
battle,1
group,1
grabs,1
unexpected,2
had,9
cruelly,1
squatters,1
food,1
out,31
cage,1
lives,5
saying,4
takes,1
mystery,1
quite,3
take,16
gosh,1
tackle,1
dance,4
woman,2
future,3
wearin,1
mine,1
be,41
donkey,26
himself,1
spleen,1
handle,2
doubt,3
same,2
duckling,1
talks,2
already,3
irritating,1
story,2
blow,1
steed,5
tush,1
baffled,1
dreams,1
treat,1
load,1
days,2
ha,6
amazing,3
ow,1
happened,1
disgusting,1
squeeze,1
hint,2
technically,1
throttle,1
knowest,1
preposterous,1
yours,2
great,8
course,3
grass,1
parfait,3
stair,1
relationship,1
light,3
sigh,1
than,6
champion,4
met,4
coward,2
these,2
castle,3
gettin,2
today,9
wants,4
ah,2
uncomfortable,1
fluttering,2
band,1
gather,1
left,1
gonna,24
your,61
shillings,2
both,5
fust,1
reached,1
compensating,2
throwback,1
inside,2
head,6
hole,1
hair,2
wire,1
lay,2
eye,3
therapy,1
undersatnd,1
years,5
should,6
delicious,3
burden,1
mess,2
arond,1
tunnel,1
marble,1
sight,3
thursday,1
heads,1
later,1
may,2
tail,2
prince,1
needs,1
waste,1
stabbin,1
fun,4
ice,1
shouldn,3
orges,6
fields,1
visit,1
happily,1
warm,1
farquaad,19
reason,2
embarking,1
eternally,1
longer,1
water,1
honest,2
hate,1
whirlwind,1
rickety,1
contact,1
permission,1
groaning,1
differently,1
sees,1
pronounce,1
job,4
close,1
master,1
prge,1
somewhere,2
playing,1
me,134
outta,1
trick,1
messenger,1
miss,2
possessed,1
talking,9
such,6
wanna,18
notice,1
siege,1
sighs,4
old,3
steal,1
yell,2
free,3
next,4
stinks,1
signs,1
pain,1
roll,1
silver,1
definitely,1
other,5
easier,2
thing,13
anybody,1
past,1
having,1
pray,1
nasty,1
death,1
flushes,1
when,22
night,17
boys,1
go,36
wait,17
white,3
after,4
clicking,1
bottom,1
gotten,1
brimstone,4
feminine,1
loved,2
wrong,5
certainly,2
rain,2
admit,1
forever,1
excuse,1
puppet,2
late,6
gents,1
aye,1
dah,3
shine,3
enough,6
resettlement,1
bridge,1
whip,1
homey,1
pathetic,1
eh,3
is,87
broad,1
mentally,1
humming,1
limerick,1
suffer,1
gentlemen,1
between,1
thumb,1
on,75
move,5
captain,2
settle,1
check,1
